,Date,Action,Type,HMC_Shares,HYMTF_Shares,HMC_Price,HYMTF_Price
129,2016-06-17,Close Position,upper,1926.7822169549838,1251.8778597694698,25.950000762939453,39.939998626708984
130,2016-06-20,Open Position,lower,1903.3117293008388,1251.8778597694698,26.270000457763672,39.939998626708984
131,2016-06-21,Close Position,lower,1893.2222752322148,1216.545057330911,26.40999984741211,41.099998474121094
132,2016-06-22,Open Position,upper,1928.268392269155,1216.545057330911,25.93000030517578,41.099998474121094
133,2016-06-23,Close Position,upper,1877.5817339740631,1216.545057330911,26.6299991607666,41.099998474121094
134,2016-06-24,Open Position,upper,1978.6307516523436,1249.0632406878692,25.270000457763672,40.029998779296875
135,2016-06-29,Close Position,upper,1960.0156625397105,1249.0632406878692,25.510000228881836,40.029998779296875
136,2016-06-30,Open Position,upper,1973.9439459376222,1249.0632406878692,25.329999923706055,40.029998779296875
137,2016-07-08,Close Position,upper,1992.8258149031053,1277.7919405870423,25.09000015258789,39.130001068115234
138,2016-07-11,Open Position,lower,1939.4879235166536,1277.7919405870423,25.780000686645508,39.130001068115234
139,2016-07-12,Close Position,lower,1917.9133327694938,1216.545057330911,26.06999969482422,41.099998474121094
140,2016-07-13,Open Position,upper,1902.587469314949,1198.7533228839952,26.280000686645508,41.709999084472656
141,2016-07-15,Close Position,upper,1888.9309141301824,1218.0268192273013,26.469999313354492,41.04999923706055
142,2016-07-18,Open Position,lower,1876.8769198781818,1218.0268192273013,26.639999389648438,41.04999923706055
143,2016-07-26,Close Position,lower,1854.5994695080315,1169.5906432748538,26.959999084472656,42.75
144,2016-07-27,Open Position,upper,1842.299230819831,1169.5906432748538,27.139999389648438,42.75
145,2016-08-02,Close Position,upper,1782.5312427794443,1169.5906432748538,28.049999237060547,42.75
146,2016-08-03,Open Position,lower,1765.5367421892322,1169.5906432748538,28.31999969482422,42.75
147,2016-09-06,Close Position,lower,1624.9593518411648,1152.6048586649422,30.770000457763672,43.380001068115234
148,2016-09-07,Open Position,lower,1619.1710284605701,1152.6048586649422,30.8799991607666,43.380001068115234
149,2016-09-08,Close Position,lower,1621.2710685023887,1152.6048586649422,30.84000015258789,43.380001068115234
150,2016-09-09,Open Position,upper,1661.6816133747925,1152.6048586649422,30.09000015258789,43.380001068115234
151,2016-09-22,Close Position,upper,1656.1775129349382,1145.475332236961,30.190000534057617,43.650001525878906
152,2016-09-23,Open Position,upper,1695.4900097682898,1096.4912647612475,29.489999771118164,45.599998474121094
153,2016-10-14,Close Position,upper,1700.1020149410058,1166.3168006942092,29.40999984741211,42.869998931884766
154,2016-10-17,Open Position,lower,1715.2658886559866,1166.3168006942092,29.149999618530273,42.869998931884766
155,2016-11-04,Close Position,lower,1804.4028023089174,1242.2360248447205,27.709999084472656,40.25
156,2016-11-07,Open Position,lower,1766.1604006793152,1242.2360248447205,28.309999465942383,40.25
157,2016-11-21,Close Position,lower,1748.2517249333878,1251.5644316678877,28.600000381469727,39.95000076293945
158,2016-11-22,Open Position,lower,1753.1556520851693,1305.483054725967,28.520000457763672,38.29999923706055
159,2016-12-08,Close Position,lower,1649.076533748622,1246.8828404636465,30.31999969482422,40.099998474121094
160,2016-12-09,Open Position,lower,1632.3865938607034,1257.861635220126,30.6299991607666,39.75
161,2016-12-12,Close Position,lower,1655.0811491318123,1257.861635220126,30.209999084472656,39.75
162,2016-12-13,Open Position,upper,1650.165058052014,1257.861635220126,30.299999237060547,39.75
163,2016-12-16,Close Position,upper,1659.4756519312111,1279.4267568398066,30.1299991607666,39.08000183105469
164,2016-12-19,Open Position,upper,1655.6290972468623,1258.4948546713624,30.200000762939453,39.72999954223633
165,2016-12-20,Close Position,upper,1657.8249420744035,1270.648079767601,30.15999984741211,39.349998474121094
166,2016-12-21,Open Position,lower,1665.556270405358,1270.648079767601,30.020000457763672,39.349998474121094
167,2016-12-23,Close Position,lower,1655.0811491318123,1260.0806354701085,30.209999084472656,39.68000030517578
168,2016-12-27,Open Position,upper,1673.3601540943685,1250.0,29.8799991607666,40.0
169,2017-01-09,Close Position,upper,1643.1153302188957,1243.781070922148,30.43000030517578,40.20000076293945
170,2017-01-10,Open Position,lower,1661.1295470541318,1243.781070922148,30.100000381469727,40.20000076293945
171,2017-01-11,Close Position,lower,1656.7262920612081,1204.8192771084337,30.18000030517578,41.5
172,2017-01-12,Open Position,upper,1657.8249420744035,1204.8192771084337,30.15999984741211,41.5
173,2017-01-17,Close Position,upper,1685.7720922868648,1315.7894736842106,29.65999984741211,38.0
174,2017-01-18,Open Position,upper,1667.2224201932954,1111.111111111111,29.989999771118164,45.0
175,2017-01-23,Close Position,upper,1646.9037877078295,1218.0268192273013,30.360000610351562,41.04999923706055
176,2017-01-24,Open Position,lower,1649.6206163309948,1218.0268192273013,30.309999465942383,41.04999923706055
177,2017-01-31,Close Position,lower,1682.3688141046766,1212.121212121212,29.719999313354492,41.25
178,2017-02-01,Open Position,lower,1668.8919068062808,1263.2642164450262,29.959999084472656,39.58000183105469
179,2017-02-23,Close Position,lower,1581.2776303902276,1204.8192771084337,31.6200008392334,41.5
180,2017-02-24,Open Position,upper,1589.8250806696255,1184.8341018019744,31.450000762939453,42.20000076293945
181,2017-03-03,Close Position,upper,1605.1364562539636,1209.7749282563743,31.149999618530273,41.33000183105469
182,2017-03-06,Open Position,lower,1614.9871278606226,1209.7749282563743,30.959999084472656,41.33000183105469
183,2017-03-14,Close Position,lower,1626.0162601626016,1209.7749282563743,30.75,41.33000183105469
184,2017-03-15,Open Position,lower,1604.6213172286837,1209.7749282563743,31.15999984741211,41.33000183105469
185,2017-03-17,Close Position,lower,1610.824694756635,1209.7749282563743,31.040000915527344,41.33000183105469
186,2017-03-20,Open Position,upper,1613.4236969759077,1141.5525312998964,30.989999771118164,43.79999923706055
187,2017-03-29,Close Position,upper,1623.9038166051203,1156.0693641618498,30.790000915527344,43.25
188,2017-03-30,Open Position,lower,1631.3213906133678,1161.4402064136714,30.649999618530273,43.04999923706055
189,2017-04-04,Close Position,lower,1687.4789543094396,1145.475332236961,29.6299991607666,43.650001525878906
190,2017-04-05,Open Position,upper,1722.3561425198723,1145.475332236961,29.030000686645508,43.650001525878906
191,2017-04-07,Close Position,upper,1737.9214182983214,1282.051282051282,28.770000457763672,39.0
192,2017-04-10,Open Position,lower,1744.591774815198,1282.051282051282,28.65999984741211,39.0
193,2017-04-19,Close Position,lower,1773.6785758337512,1242.2360248447205,28.190000534057617,40.25
194,2017-04-20,Open Position,lower,1755.6180057464237,1242.2360248447205,28.479999542236328,40.25
195,2017-05-03,Close Position,lower,1728.9073260060457,1216.545057330911,28.920000076293945,41.099998474121094
196,2017-05-04,Open Position,upper,1724.732680053811,1216.545057330911,28.989999771118164,41.099998474121094
197,2017-07-05,Close Position,upper,1799.855967031569,1079.9136247064516,27.780000686645508,46.29999923706055
198,2017-07-06,Open Position,lower,1830.1610746164288,1079.9136247064516,27.31999969482422,46.29999923706055
199,2017-07-18,Close Position,lower,1807.664507441349,1064.2826838482322,27.65999984741211,46.97999954223633
200,2017-07-19,Open Position,upper,1803.1013640603787,1064.2826838482322,27.729999542236328,46.97999954223633
201,2017-07-21,Close Position,upper,1816.8604348948872,1101.3215488880326,27.520000457763672,45.400001525878906
202,2017-07-24,Open Position,lower,1824.1517795820312,1101.3215488880326,27.40999984741211,45.400001525878906
203,2017-08-11,Close Position,lower,1814.2235474927397,1101.3215488880326,27.559999465942383,45.400001525878906
204,2017-08-14,Open Position,lower,1802.4513486859544,1101.3215488880326,27.739999771118164,45.400001525878906
205,2017-08-23,Close Position,lower,1803.1013640603787,1150.4832271812897,27.729999542236328,43.459999084472656
206,2017-08-24,Open Position,upper,1800.504111479821,1136.3636363636363,27.770000457763672,44.0
207,2017-08-31,Close Position,upper,1779.359406449404,1197.6047904191616,28.100000381469727,41.75
208,2017-09-01,Open Position,lower,1772.4211847819943,1197.6047904191616,28.209999084472656,41.75
209,2017-09-14,Close Position,lower,1710.5713576133228,1020.4081632653061,29.229999542236328,49.0
210,2017-09-15,Open Position,lower,1704.1581370131596,1289.9897359443999,29.34000015258789,38.7599983215332
211,2017-10-31,Close Position,lower,1608.2341510004162,1104.9723756906078,31.09000015258789,45.25
212,2017-11-01,Open Position,upper,1568.8735074787874,1081.081081081081,31.8700008392334,46.25
213,2017-11-08,Close Position,upper,1486.3258295832727,1086.9565217391305,33.63999938964844,46.0
214,2017-11-09,Open Position,upper,1516.530122801545,1086.9565217391305,32.970001220703125,46.0
215,2017-11-15,Close Position,upper,1554.726375535834,1127.6499735664022,32.15999984741211,44.34000015258789
216,2017-11-16,Open Position,lower,1533.7424030768461,1127.6499735664022,32.599998474121094,44.34000015258789
217,2017-12-29,Close Position,lower,1467.1360714082634,1126.126087424954,34.08000183105469,44.400001525878906
218,2018-01-02,Open Position,upper,1450.1160285327853,1126.126087424954,34.47999954223633,44.400001525878906
219,2018-01-05,Close Position,upper,1403.7058253598982,1197.6047904191616,35.619998931884766,41.75
220,2018-01-08,Open Position,lower,1396.648074456925,1197.6047904191616,35.79999923706055,41.75
221,2018-01-17,Close Position,lower,1376.2729832086127,1141.5525312998964,36.33000183105469,43.79999923706055
222,2018-01-18,Open Position,upper,1394.3111865303956,1141.5525312998964,35.86000061035156,43.79999923706055
223,2018-01-30,Close Position,upper,1395.478577862194,1204.8192771084337,35.83000183105469,41.5
224,2018-01-31,Open Position,upper,1416.8319269722763,1052.6315789473683,35.290000915527344,47.5
225,2018-02-05,Close Position,upper,1434.7202923732978,1176.4705882352941,34.849998474121094,42.5
226,2018-02-06,Open Position,lower,1382.743368666756,1187.6484991023228,36.15999984741211,42.099998474121094
227,2018-03-08,Close Position,lower,1431.4342846596314,1219.5121951219512,34.93000030517578,41.0
228,2018-03-09,Open Position,upper,1443.001379456122,1219.5121951219512,34.650001525878906,41.0
229,2018-03-13,Close Position,upper,1444.6691452829798,1253.1327841571708,34.61000061035156,39.900001525878906
